date,holdings,n,equity,cash
2020-01-31,TSLA:3571.92@43.37,1,155018.53468928928,99.81557607701689
2020-03-31,TSLA:3571.92@34.93,1,124878.69216952889,99.81557607701689
2020-04-30,TSLA:3571.92@52.13,1,186287.1032384695,99.81557607701689
2020-06-30,ZM:1011.40@253.54,1,256688.32008897146,256.94475146429613
2020-07-31,TSLA:2686.69@95.38,1,256523.6766833913,256.779943580128
2020-08-31,TSLA:2686.69@166.11,1,446533.3938063956,256.779943580128
2020-09-30,TSLA:2686.69@143.00,1,384461.802951131,256.779943580128
2020-11-30,TSLA:2686.69@189.20,1,508577.84912889707,256.779943580128
2020-12-31,MRNA:6033.05@104.47,1,630904.1840894461,631.5344567390857
2021-03-31,BIDU:3623.17@217.55,1,789009.8556029394,789.7980756604811
2021-04-30,AMAT:5987.51@127.01,1,761258.2114071231,762.0187075999565
2021-06-30,MRNA:3471.33@234.98,1,816509.6515537143,817.3253438798711
2021-08-31,MRNA:3471.33@376.69,1,1308431.345090167,817.3253438798711
2021-09-30,MRNA:3471.33@384.86,1,1336792.0834727287,817.3253438798711
2021-11-30,TSLA:3198.44@381.59,1,1221705.1781318323,1222.9256603843533
2021-12-31,LCID:2955.23@380.50,1,1125591.7437133377,1126.716208740836
2022-01-31,LCID:2955.23@293.90,1,869668.8228673504,1126.716208740836
2022-02-28,DLTR:6017.14@142.08,1,855771.9015503618,856.6268168250099
2022-03-31,VRTX:3684.47@260.97,1,962500.1731856752,963.4617098972667
2022-05-31,CEG:16407.43@60.20,1,988690.8241250544,989.6785252706613
2022-06-30,CEG:16407.43@55.52,1,912004.1283919647,989.6785252706613
2022-08-31,CEG:16407.43@79.26,1,1301424.6789402103,989.6785252706613
2022-09-30,CEG:16407.43@80.81,1,1326925.1095245979,989.6785252706613
2022-10-31,CEG:16407.43@91.84,1,1507830.1716384427,989.6785252706613
2022-11-30,CEG:16407.43@93.51,1,1535286.3680995891,989.6785252706613
2023-01-31,MRNA:7720.59@176.06,1,1360648.6974655522,1362.0079841550905
2023-02-28,NVDA:46171.66@23.16,1,1070615.0572812322,1071.6846006538253
2023-03-31,NVDA:46171.66@27.72,1,1280954.6626508124,1071.6846006538253
2023-05-31,NVDA:46171.66@37.76,1,1744351.8914091003,1071.6846006538253
2023-06-30,NVDA:46171.66@42.22,1,1950429.8527415367,1071.6846006538253
2023-07-31,NVDA:46171.66@46.64,1,2154430.089462148,1071.6846006538253
2023-08-31,NVDA:46171.66@49.26,1,2275441.388020654,1071.6846006538253
2023-10-31,PDD:18481.88@101.42,1,1876310.5359228011,1878.184968273621
2023-11-30,PDD:18481.88@147.44,1,2726846.6904379595,1878.184968273621
2024-01-31,CRWD:31990.78@73.12,1,2341669.7289592545,2344.009054678958
2024-02-29,NVDA:32753.86@78.97,1,2589216.658990873,2591.8032838464715
2024-04-30,NVDA:32753.86@86.25,1,2827700.800592264,2591.8032838464715
2024-05-31,NVDA:32753.86@109.44,1,3587292.329271132,2591.8032838464715
2024-07-31,NVDA:32753.86@116.83,1,3829140.292457512,2591.8032838464715
2024-09-30,TSLA:15142.59@261.63,1,3965725.5052032685,3969.6872610212304
2024-10-31,DASH:24095.08@156.70,1,3779482.944659985,3783.258644345682
2024-12-31,APP:12455.05@323.83,1,4037359.3518769834,4041.392669836059
2025-01-31,APP:12455.05@369.59,1,4607302.315201317,4041.392669836059
2025-02-28,APP:12455.05@325.74,1,4061148.4921730827,4041.392669836059
2025-03-31,PLTR:39028.55@84.40,1,3297309.9063600753,3300.6039156629704
2025-04-30,PLTR:39028.55@118.44,1,4625841.620284338,3300.6039156629704
2025-06-30,PLTR:39028.55@136.32,1,5323672.027010713,3300.6039156629704
2025-07-31,PLTR:39028.55@158.35,1,6183470.9006226845,3300.6039156629704
2025-09-30,WBD:363509.40@19.53,1,7106452.187429612,7113.5515260649845
2025-10-31,WBD:363509.40@22.45,1,8167899.643488922,7113.5515260649845
2025-12-31,WBD:363509.40@28.82,1,10483454.539070368,7113.5515260649845
2026-03-31,WDC:36820.12@270.42,1,9966855.735354226,9976.812614275143
2026-04-30,WDC:36820.12@434.41,1,16004884.410354145,9976.812614275143
2026-06-30,MRVL:78759.94@297.82,1,23479514.08704126,23502.970098156482
