,equity
2007-10-17,162427.58329335423
2007-10-18,164399.20225180357
2007-10-19,159301.80201970827
2007-10-22,164369.31579845588
2007-10-23,169535.89632917423
2007-10-24,170733.84526964842
2007-10-25,167307.14889109222
2007-10-26,166382.58112349908
2007-10-29,172628.59801078067
2007-10-30,169597.23916050934
2007-10-31,157665.61179016973
2007-11-01,151376.00427143916
2007-11-02,150043.68814791937
2007-11-05,147174.47077935416
2007-11-06,151916.23557882349
2007-11-07,142603.27871861428
2007-11-08,139645.89362575812
2007-11-09,139785.52596365946
2007-11-12,136489.66504033803
2007-11-13,139795.22633027827
2007-11-14,136190.5479469442
2007-11-15,131096.57159185834
2007-11-16,131051.22986887176
2007-11-19,128357.54588215366
2007-11-20,128403.69249784636
2007-11-21,126831.98835296127
2007-11-23,127282.44466593035
2007-11-26,127109.22517782853
2007-11-27,130016.28192694121
2007-11-28,136063.19057849393
2007-11-29,135573.36934067076
2007-11-30,136742.42168679443
2007-12-03,136850.0221861345
2007-12-04,136318.89242496016
2007-12-05,137864.42658987906
2007-12-06,140359.75810148913
2007-12-07,142067.79040306216
2007-12-10,143304.87874320254
2007-12-11,139819.37157949182
2007-12-12,141804.1899427211
2007-12-13,141432.18823488936
2007-12-14,142534.71053329564
2007-12-17,135716.9425466796
2007-12-18,138864.7411710781
2007-12-19,139223.9594937019
2007-12-20,140152.16390395697
2007-12-21,140206.3642959573
2007-12-24,141878.6276007921
2007-12-26,142182.3608718227
2007-12-27,140983.71978560623
2007-12-28,140043.54831190442
2007-12-31,139573.83065613182
2008-01-02,139783.4680223031
2008-01-03,139262.85656077252
2008-01-04,135158.4661522061
2008-01-07,133920.05805481726
2008-01-08,126859.37395459523
2008-01-09,124804.63937201626
2008-01-10,125920.0342514833
2008-01-11,124396.6778286456
2008-01-14,125383.26263691807
2008-01-15,122692.41469306528
2008-01-16,125279.5212744552
2008-01-17,124198.15922193992
2008-01-18,124423.81284441368
2008-01-22,124462.67990433442
2008-01-23,123420.2310651458
2008-01-24,134598.99782820165
2008-01-25,132690.18870727552
2008-01-28,130666.77696219434
2008-01-29,125519.61825547782
2008-01-30,122660.23336605821
2008-01-31,128288.50853780945
2008-02-01,125680.73595295567
2008-02-04,126365.8615870512
2008-02-05,121606.9407882953
2008-02-06,115636.7529975889
2008-02-07,116223.22918591743
2008-02-08,116635.84911267171
2008-02-11,119922.2034062352
2008-02-12,119608.4674599898
2008-02-13,123496.1783569403
2008-02-14,124299.18440821752
2008-02-15,123038.42350128619
2008-02-19,120120.77705276225
2008-02-20,120233.9408689151
2008-02-21,119082.23552776348
2008-02-22,119518.57060583474
2008-02-25,118647.36938403596
2008-02-26,117814.41041242056
2008-02-27,123347.97447810567
2008-02-28,121952.49782038445
2008-02-29,121549.91575600435
2008-03-03,118934.52682214315
2008-03-04,120316.07176116992
2008-03-05,119367.40943250147
2008-03-06,119416.05796802048
2008-03-07,119541.60382636428
2008-03-10,117367.1185069302
2008-03-11,120149.47446300417
2008-03-12,121827.72943464773
2008-03-13,124254.76442435793
2008-03-14,123828.61653600071
2008-03-17,123111.44878152027
2008-03-18,126488.85422854057
2008-03-19,125811.63701617655
2008-03-20,127801.79717115253
2008-03-24,133534.11711027162
2008-03-25,133274.30318412656
