,equity
2006-06-20,67164.22087608231
2006-06-21,67990.36901203525
2006-06-22,69922.73357748686
2006-06-23,70228.85265613775
2006-06-26,70228.85265613775
2006-06-27,69012.73878496293
2006-06-28,69706.66475325826
2006-06-29,69291.26478275134
2006-06-30,70262.2616866571
2006-07-03,71964.14160183413
2006-07-05,74983.43878212747
2006-07-06,73995.41617791652
2006-07-07,72953.28193074351
2006-07-10,72371.59740941745
2006-07-11,71805.7672559957
2006-07-12,73083.29310009678
2006-07-13,70611.07445654848
2006-07-14,69003.84782994943
2006-07-17,69312.20986979698
2006-07-18,69504.56698842502
2006-07-19,69398.56703341227
2006-07-20,68191.32710034824
2006-07-21,67435.64397410568
2006-07-24,67811.38797760403
2006-07-25,67988.65177004796
2006-07-26,67889.91130978911
2006-07-27,67511.13330672632
2006-07-28,69869.61286712336
2006-07-31,70774.97179712154
2006-08-01,68743.36738519139
2006-08-02,69068.12280399972
2006-08-03,67872.60897415616
2006-08-04,65554.89262312616
2006-08-07,64307.62049998985
2006-08-08,64521.1442482224
2006-08-09,63362.768762088956
2006-08-10,63312.91815717742
2006-08-11,62210.508060999535
2006-08-14,63474.96636989887
2006-08-15,67588.42381942978
2006-08-16,68643.88974546357
2006-08-17,69055.37017731318
2006-08-18,69534.23633968554
2006-08-21,69370.78252933305
2006-08-22,68912.22872448352
2006-08-23,67477.1719138407
2006-08-24,65905.52787106014
2006-08-25,66487.36715097916
2006-08-28,68203.01975721173
2006-08-29,68338.43125792105
2006-08-30,68016.48313665584
2006-08-31,68648.55328603543
2006-09-01,71148.72350233185
2006-09-05,71829.06850527058
2006-09-06,68905.01920332978
2006-09-07,68886.50254187164
2006-09-08,72029.72106041541
2006-09-11,75914.76527543085
2006-09-12,75765.7821483127
2006-09-13,77331.93427148681
2006-09-14,80314.29421778629
2006-09-15,82564.58567608199
2006-09-18,81299.8317309862
2006-09-19,79653.07577035921
2006-09-20,80847.58500809348
2006-09-21,80830.43178648401
2006-09-22,80881.87593384061
2006-09-25,85681.94824192139
2006-09-26,86247.1040885322
2006-09-27,84483.1772635768
2006-09-28,87452.19375897683
2006-09-29,87324.31657526357
2006-10-02,85794.67831969536
2006-10-03,87418.49278854686
2006-10-04,88168.4312242831
2006-10-05,86655.09206608126
2006-10-06,87622.45580381388
