date,equity
2007-01-25,62664.64844924719
2007-01-26,62435.42706683508
2007-01-29,62492.732412438105
2007-01-30,62521.46862072884
2007-01-31,63151.99449334056
2007-02-01,63080.32104359216
2007-02-02,63280.806217713536
2007-02-05,63223.50087211052
2007-02-06,63123.25828504982
2007-02-07,63710.846916203875
2007-02-08,63696.47881205852
2007-02-09,62822.36345288933
2007-02-12,62621.71120778952
2007-02-13,62850.93259020163
2007-02-14,63911.33209032525
2007-02-15,64283.90037223414
2007-02-16,64069.047093967405
2007-02-20,64556.226067082345
2007-02-21,64756.878312182154
2007-02-22,65086.50935263337
2007-02-23,64857.12089924283
2007-02-26,64541.85796293698
2007-02-27,61890.94274811711
2007-02-28,62091.427922238494
2007-03-01,61804.90119422336
2007-03-02,60873.48048945114
2007-03-05,60400.50254950313
2007-03-06,61403.596704023745
2007-03-07,61160.00721746627
2007-03-08,61575.67981181126
2007-03-09,61589.880844978186
2007-03-12,61919.5118854294
2007-03-13,60715.765485808995
2007-03-14,61604.248949123554
2007-03-15,61460.90204962676
2007-03-16,61413.28682077294
2007-03-19,62044.146835341526
2007-03-20,62488.722708955676
2007-03-21,63693.13739248982
2007-03-22,63463.74893909929
2007-03-23,63262.92962302106
2007-03-26,63521.05428470232
2007-03-27,63076.47841108817
2007-03-28,62402.681155061924
2007-03-29,62474.35460481031
2007-03-30,62416.882188228854
2007-04-02,62502.923742122606
2007-04-03,63320.23496862407
2007-04-04,63578.359630305335
2007-04-05,63893.78963758964
2007-04-09,63736.07463394748
2007-04-10,64065.87274537715
2007-04-11,63392.07548935089
2007-04-12,63893.78963758964
2007-04-13,64022.935503919485
2007-04-16,64610.85827703041
2007-04-17,64754.20517652719
2007-04-18,64539.18482728203
2007-04-19,64739.83707238182
2007-04-20,65098.37139210223
2007-04-23,65198.61397916291
2007-04-24,65528.41209059257
2007-04-25,66403.1957336755
2007-04-26,66747.36194925052
2007-04-27,66775.93108656282
2007-04-30,65901.31451445832
2007-05-01,66116.3348637035
2007-05-02,66560.91073731765
