,equity
2022-08-12,6502440.199561044
2022-08-15,6478525.394984742
2022-08-16,6494471.333657272
2022-08-17,6358943.165238246
2022-08-18,6510417.272329804
2022-08-19,6449825.988120182
2022-08-22,6354954.628853867
2022-08-23,6362923.494757637
2022-08-24,6412353.442582985
2022-08-25,6601300.09521174
2022-08-26,6449029.922216305
2022-08-29,6462579.456312211
2022-08-30,6358138.892469379
2022-08-31,6509621.206425924
2022-09-01,6583762.024731452
2022-09-02,6468160.124504347
2022-09-06,6563031.483770664
2022-09-07,6614053.563403768
2022-09-08,6844461.297954097
2022-09-09,6981581.59818088
2022-09-12,7031011.546006228
2022-09-13,6891494.841202823
2022-09-14,7024634.811910214
2022-09-15,6924978.850355639
2022-09-16,6826915.020608823
2022-09-19,7129075.375753046
2022-09-20,7000720.007333913
2022-09-21,6963247.461796715
2022-09-22,6811773.35470516
2022-09-23,6689794.72038204
2022-09-26,6615653.902076513
2022-09-27,6699363.924958556
2022-09-28,6783073.9478406
2022-09-29,6625214.899788041
2022-09-30,6637172.302076192
2022-10-03,6908236.845779232
2022-10-04,7127475.037080301
2022-10-05,7034204.0164867295
2022-10-06,6883525.975299051
2022-10-07,6732847.9341113735
2022-10-10,6759150.93639931
2022-10-11,6612461.431596011
2022-10-12,6555062.617866892
2022-10-13,6687398.3158054175
2022-10-14,6483309.997273
2022-10-17,6796623.481936507
2022-10-18,6901860.111683218
2022-10-19,6836484.225185338
2022-10-20,6746397.468207281
2022-10-21,6963247.461796715
2022-10-24,6987162.266373016
2022-10-25,7032603.677813984
2022-10-26,7082829.69154321
2022-10-27,7422454.385359642
2022-10-28,7479057.133184883
2022-10-31,7542044.821971126
2022-11-01,7620174.176661033
2022-11-02,7426442.9217440225
2022-11-03,7531679.551490732
2022-11-04,7524498.544625851
2022-11-07,7459130.864992961
2022-11-08,6983978.002757504
2022-11-09,6968828.129988851
2022-11-10,7589874.43112373
2022-11-11,7364259.505726646
2022-11-14,7503726.96934012
2022-11-15,7470193.718997372
2022-11-16,7324882.967512132
2022-11-17,7194738.502525519
2022-11-18,7454223.159729877
2022-11-21,7461412.373459746
2022-11-22,7691352.316705735
2022-11-23,7719296.691991359
2022-11-25,7762415.5606406005
2022-11-28,7574782.006409995
2022-11-29,7544441.22654775
2022-11-30,7679378.500687608
2022-12-01,7547641.90389324
2022-12-02,7353623.408701633
2022-12-05,7195534.5684293965
2022-12-06,7253023.657673389
2022-12-07,7348034.533644509
2022-12-08,7303323.53318751
2022-12-09,7168386.259047653
2022-12-12,7261008.937307137
2022-12-13,7257808.259961647
2022-12-14,7258612.532730513
2022-12-15,7166794.127239895
2022-12-16,7047031.346463654
2022-12-19,7009501.352871539
2022-12-20,6995927.198180666
2022-12-21,7162797.383990527
2022-12-22,6977568.441201536
2022-12-23,7034253.25767666
2022-12-27,7002320.346006657
2022-12-28,6920079.351957544
2022-12-29,6932857.440744538
2022-12-30,6888146.440287541
2023-01-03,6544820.4503613245
2023-01-04,6664583.231137565
2023-01-05,6584738.641665076
2023-01-06,6671772.444867436
2023-01-09,6711690.636171187
2023-01-10,6638239.194524688
2023-01-11,6720471.981708813
2023-01-12,6738838.945552932
2023-01-13,6804305.107565682
2023-01-17,6661390.760657065
2023-01-18,6540027.641208079
2023-01-19,6459386.98583171
2023-01-20,6631846.046698696
2023-01-23,6722868.386285435
2023-01-24,6704501.422441317
2023-01-25,6663787.1652336875
2023-01-26,6861794.196809674
2023-01-27,6917682.947380921
2023-01-30,6583942.575761198
2023-01-31,6820275.666833178
2023-02-01,6737892.979482612
2023-02-02,6817059.443374219
2023-02-03,6697344.302855202
2023-02-06,6582263.296807889
2023-02-07,6612771.348746606
2023-02-08,6353259.818331188
2023-02-09,6358666.308548175
2023-02-10,6544031.687416332
2023-02-13,6628990.81939757
2023-02-14,6788868.458671355
2023-02-15,6852973.985529925
2023-02-16,6661043.582826856
2023-02-17,6440536.017548278
2023-02-21,6189134.222458341
2023-02-22,6114988.070911078
2023-02-23,5705639.5259105675
2023-02-24,5384725.713745072
2023-02-27,5346494.104353515
2023-02-28,5367347.709476182
2023-03-01,5235780.837034183
2023-03-02,5377720.916995258
2023-03-03,5510446.20816615
2023-03-06,5433032.744445108
2023-03-07,5372640.081070847
2023-03-08,5578460.125427031
2023-03-09,5406750.96589065
2023-03-10,5298205.834778209
2023-03-13,5298436.781865682
2023-03-14,5551254.558522679
2023-03-15,5589291.543829528
2023-03-16,5891901.512545763
2023-03-17,5934303.397805856
2023-03-20,5974649.853987438
2023-03-21,6043564.464889463
2023-03-22,6105550.66316729
2023-03-23,6272178.98677926
2023-03-24,6177236.6391189955
2023-03-27,6120077.23496936
2023-03-28,6092178.826802587
2023-03-29,6224465.318507281
2023-03-30,6316428.448739139
2023-03-31,6407236.843533632
2023-04-03,6450562.517143618
2023-04-04,6332571.650153521
2023-04-05,6200747.052623776
2023-04-06,6236682.419434617
2023-04-10,6361601.699048913
