date,holdings,n,equity,cash
2005-11-30,,0,10000.0,10000.0
2020-03-31,AMD:843.69@45.48 | TSLA:1098.05@34.93,2,76733.09738473716,3.4789678992055997
2020-04-30,AMD:967.72@52.39 | TSLA:973.05@52.13,2,101425.48550604426,6.510669696579498
2020-06-30,TSLA:839.79@71.99 | ZM:237.92@253.54,2,120835.31926625405,60.44178450988693
2020-07-31,TSLA:736.87@95.38 | ZM:276.69@253.91,2,140549.5950516819,9.864616656877843
2020-08-31,PDD:1190.66@88.94 | TSLA:638.95@166.11,2,212137.13820596557,106.10967429271841
2020-09-30,PDD:1190.66@74.15 | TSLA:638.95@143.00,2,179765.36996603358,106.10967429271841
2020-11-30,PDD:1031.16@138.81 | TSLA:756.16@189.20,2,286223.99093647394,22.221939144972566
2020-12-31,MRNA:1725.58@104.47 | TSLA:756.16@235.22,2,360713.5702649801,2575.1344805042318
2021-03-31,BIDU:909.81@217.55 | MRNA:1514.77@130.95,2,396485.4095957435,198.32466385571752
2021-04-30,AMAT:1815.56@127.01 | MRNA:1292.44@178.82,2,461945.41673364467,231.06246503069997
2021-06-30,AMAT:2020.22@136.53 | MRNA:1174.14@234.98,2,551740.4195777688,27.99776779673266
2021-08-31,MRNA:934.78@376.69 | NVDA:15742.65@22.31,2,703721.5029502589,351.95006587699754
2021-09-30,MRNA:890.15@384.86 | NVDA:16588.70@20.65,2,685128.8317935707,17.504310016203817
2021-11-30,NVDA:13105.77@32.57 | TEAM:1131.62@376.32,2,853120.2255312363,426.70291943923803
2021-12-31,DDOG:2286.27@178.11 | LCID:1069.08@380.50,2,814398.7494431471,407.5979819310596
2022-01-31,LCID:1102.89@293.90 | TSLA:1036.05@312.24,2,647961.3352182059,324.1442952876678
2022-02-28,DLTR:2178.17@142.08 | LCID:1070.10@289.80,2,619900.7137978896,310.094262765022
2022-03-31,DLTR:1937.76@160.15 | VRTX:1186.60@260.97,2,620309.292242077,310.28610639087856
2022-05-31,KHC:10055.98@30.83 | VRTX:1186.60@268.65,2,629081.5606612192,310.61233521375107
2022-06-30,CEG:5812.44@55.52 | VRTX:1147.73@281.79,2,646476.3657820756,323.37888744677184
2022-08-31,CEG:4948.32@79.26 | VRTX:1391.20@281.76,2,784252.0169129119,68.73649264124106
2022-09-30,CEG:4948.32@80.81 | VRTX:1391.20@289.54,2,802766.2424741028,68.73649264124106
2022-10-31,BIIB:1563.48@283.44 | CEG:4835.20@91.84,2,887655.8445182216,444.03974171186564
